Number_of_prior_offenses,Frequency_of_previous_bail_violations,Potential_sentence_length,Age,Existing_debts_or_liabilities,Bail_amount,Severity_of_current_offense,Types_of_prior_offenses,Gender,Employment_status,Marital_status,Financial_stability,Property_ownership,Family_connections,Community_involvement,Stability_of_residence,Previous_compliance_with_court_orders,History_of_bail_conditions_adherence,Attempt_to_Flee
8,1,11,56,2992,9560,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
13,7,15,77,19749,41785,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
0,5,3,23,56858,15931,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Unstable,Non-Compliant,Adherent,Yes
3,4,7,77,59460,7931,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Active,Stable,Non-Compliant,Adherent,Yes
16,0,9,54,52258,31852,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,Strong,Inactive,Unstable,Non-Compliant,Adherent,Yes
16,5,12,21,76788,1303,High,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,Yes
9,3,10,19,91629,45994,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,None,None,Unstable,Compliant,Adherent,No
19,0,17,34,19812,27242,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
1,0,2,20,15607,33559,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Compliant,Adherent,No
2,3,17,78,58668,19404,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Weak,Inactive,Stable,Compliant,Adherent,No
7,2,1,79,86311,20138,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,None,Inactive,Stable,Compliant,Adherent,No
8,0,6,56,90691,43844,High,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,None,Inactive,Stable,Non-Compliant,Adherent,No
5,0,3,70,22318,6851,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
5,8,2,26,8512,37702,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Unstable,Non-Compliant,Adherent,Yes
7,6,15,44,92211,30646,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,Strong,None,Stable,Non-Compliant,Non-Adherent,Yes
2,3,3,41,48306,18876,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,No
0,3,1,31,17202,32446,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
9,8,2,50,37428,13188,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,None,Unstable,Compliant,Adherent,Yes
12,0,2,77,39334,42467,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,None,Inactive,Stable,Non-Compliant,Adherent,Yes
6,4,19,18,98668,3028,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Active,Unstable,Compliant,Adherent,Yes
0,1,9,58,91775,37687,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,None,Active,Stable,Compliant,Adherent,No
6,1,3,25,20495,35827,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Weak,Active,Unstable,Non-Compliant,Non-Adherent,Yes
8,8,3,27,84715,12098,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
5,0,12,79,50669,26038,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Owns_Property,Weak,None,Unstable,Compliant,Non-Adherent,Yes
8,3,10,34,75090,12704,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,No
19,2,1,60,45168,44710,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Strong,Active,Unstable,Compliant,Adherent,Yes
0,1,15,38,77150,21251,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
17,0,2,75,1046,35851,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Inactive,Unstable,Compliant,Adherent,Yes
13,4,5,42,34207,41168,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Strong,Inactive,Unstable,Compliant,Non-Adherent,Yes
13,6,18,78,30291,34081,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,None,Active,Stable,Non-Compliant,Adherent,Yes
9,9,8,41,58359,9451,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,No_Property,Strong,Inactive,Unstable,Non-Compliant,Adherent,Yes
15,7,5,56,86849,12398,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,Yes
9,5,14,48,72842,5417,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
1,2,6,78,53675,19036,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Rents,None,Inactive,Stable,Non-Compliant,Adherent,No
3,1,17,68,34331,15291,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,None,Stable,Compliant,Adherent,No
9,4,6,49,68215,40585,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,Strong,Active,Stable,Compliant,Adherent,Yes
17,1,7,37,5343,30329,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,Yes
7,6,4,23,75070,40842,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
9,1,7,49,30972,22498,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,None,None,Stable,Compliant,Adherent,No
9,0,11,53,83240,11324,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
13,9,12,60,659,34007,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
14,7,4,66,51662,33021,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Weak,Active,Stable,Non-Compliant,Adherent,Yes
10,3,5,74,25073,49301,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Active,Unstable,Compliant,Adherent,No
13,9,15,45,88339,4937,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,Yes
6,1,1,47,34273,49706,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
9,1,8,58,80208,19790,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
6,5,2,70,25774,23525,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,None,Stable,Compliant,Adherent,Yes
4,3,18,39,25196,38119,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Weak,None,Stable,Non-Compliant,Adherent,No
12,3,9,42,17118,15834,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
10,3,10,23,24882,3239,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
13,6,7,24,16712,43580,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,None,Stable,Compliant,Adherent,Yes
16,8,2,46,5621,22101,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
10,2,7,44,40909,29813,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
7,1,12,72,21276,41988,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,No_Property,Strong,Inactive,Unstable,Compliant,Non-Adherent,Yes
19,0,17,30,2093,32359,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,No_Property,None,None,Stable,Compliant,Adherent,Yes
5,0,13,78,88595,17482,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Weak,Active,Stable,Non-Compliant,Adherent,No
7,3,11,50,83593,25388,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Rents,None,Active,Unstable,Compliant,Adherent,No
1,9,16,48,93712,25500,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
16,7,9,66,37565,7179,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Unstable,Non-Compliant,Adherent,Yes
14,9,3,54,20667,25489,Medium,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,Yes
5,2,16,70,32697,29763,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,Inactive,Unstable,Non-Compliant,Adherent,No
6,2,6,61,58657,32618,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Compliant,Adherent,No
7,6,17,44,65443,21699,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
0,4,8,29,24063,12602,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,No_Property,Strong,None,Unstable,Compliant,Adherent,Yes
17,3,3,37,81489,8766,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
10,1,7,35,70203,37283,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
14,9,6,45,50817,5004,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Weak,Inactive,Unstable,Non-Compliant,Adherent,Yes
5,3,6,70,81803,17060,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,No
12,4,12,50,49413,24189,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Owns_Property,Weak,Active,Unstable,Compliant,Adherent,Yes
4,2,11,58,52860,34169,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Rents,None,None,Stable,Non-Compliant,Adherent,No
8,9,9,71,91390,41833,Medium,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
0,0,3,59,48511,8014,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,None,Inactive,Stable,Compliant,Adherent,No
0,8,3,38,37299,3819,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Owns_Property,Strong,None,Stable,Compliant,Non-Adherent,Yes
9,6,4,46,56882,24656,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Active,Unstable,Compliant,Non-Adherent,Yes
6,9,6,29,70365,41120,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
6,4,3,63,834,43162,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,No_Property,Weak,None,Unstable,Compliant,Non-Adherent,Yes
6,3,10,46,15652,1865,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,None,Inactive,Unstable,Compliant,Adherent,No
5,0,7,42,8147,3654,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,No_Property,None,Active,Stable,Compliant,Adherent,No
5,2,14,78,76172,8303,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,No
18,6,13,36,69541,41412,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
0,6,15,24,57783,36372,Medium,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
2,0,3,32,32735,27806,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
3,2,7,62,12578,17316,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,None,None,Stable,Non-Compliant,Adherent,No
18,1,2,54,61945,5139,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,Yes
10,2,12,78,85486,34841,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,None,Unstable,Compliant,Non-Adherent,Yes
4,4,16,43,36784,36834,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
3,9,16,50,87920,43115,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,No_Property,Weak,Inactive,Stable,Non-Compliant,Non-Adherent,Yes
16,0,3,26,17706,33176,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Owns_Property,None,Active,Stable,Compliant,Adherent,Yes
5,2,11,63,46630,24557,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
17,0,8,76,57227,12756,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,No_Property,None,Inactive,Stable,Compliant,Adherent,Yes
12,7,7,58,99814,49070,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
7,9,11,67,11068,14632,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,Weak,Active,Unstable,Compliant,Adherent,Yes
10,3,3,18,79942,43977,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,None,Active,Stable,Compliant,Adherent,No
8,0,13,34,9015,34706,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Strong,Active,Stable,Compliant,Adherent,No
2,3,6,56,49791,34621,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,None,Inactive,Stable,Compliant,Adherent,No
5,0,19,72,44365,40294,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Owns_Property,None,Inactive,Unstable,Compliant,Adherent,No
4,3,15,44,19485,41035,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,Active,Unstable,Non-Compliant,Adherent,No
8,1,12,76,20432,7844,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Unstable,Non-Compliant,Adherent,No
1,3,9,27,75992,39233,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
7,0,17,26,84957,1387,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,No_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
18,4,10,50,30227,3644,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,Yes
4,1,5,34,15016,25752,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,Active,Unstable,Compliant,Adherent,No
8,0,17,25,43673,1186,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,No
8,0,1,66,81316,21813,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Weak,Active,Stable,Compliant,Adherent,No
4,3,19,68,88292,22826,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,No_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
5,0,19,72,44365,40294,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Owns_Property,None,Inactive,Unstable,Compliant,Adherent,No
8,2,11,32,45120,42110,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Weak,Active,Stable,Compliant,Adherent,No
15,2,18,32,33804,35046,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
6,0,12,49,98049,16116,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,No
13,8,13,35,75356,6441,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
10,8,3,59,34128,12098,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Strong,Active,Stable,Compliant,Adherent,Yes
3,6,14,48,68547,32370,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,Strong,Active,Stable,Compliant,Non-Adherent,Yes
10,7,4,48,90167,30378,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
8,9,18,18,26115,24773,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Strong,Active,Stable,Compliant,Adherent,Yes
2,7,16,64,14332,23011,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,Yes
14,1,13,28,53829,17983,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,None,Active,Stable,Compliant,Adherent,Yes
10,3,14,22,94354,2245,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Strong,None,Stable,Non-Compliant,Adherent,No
1,0,12,44,62782,30501,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,Active,Unstable,Compliant,Adherent,No
2,6,19,75,39527,20210,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
11,1,9,79,66569,40042,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
4,3,11,54,38019,49244,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Active,Unstable,Compliant,Adherent,No
12,3,6,62,54979,20505,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
6,0,16,31,35489,11540,High,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
8,9,9,21,2185,49248,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,Yes
6,0,7,41,89562,20621,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,No
3,2,4,33,93426,19937,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,No
6,5,4,61,35869,36952,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,Yes
5,7,14,22,5630,42482,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Weak,Inactive,Stable,Compliant,Adherent,Yes
12,3,2,23,41971,14582,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
5,1,14,41,74333,40546,High,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Owns_Property,Weak,None,Unstable,Non-Compliant,Adherent,No
6,0,18,34,30821,40055,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Weak,Inactive,Unstable,Non-Compliant,Adherent,No
12,4,8,33,95989,2528,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
3,6,12,62,74419,10476,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
7,3,1,47,41469,44082,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,None,Inactive,Stable,Compliant,Adherent,No
2,1,12,27,30996,33414,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Weak,Active,Stable,Compliant,Adherent,No
2,2,13,69,56360,3832,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
6,1,3,68,29680,46785,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
15,5,16,65,79373,37157,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,Yes
3,3,11,24,19234,32516,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,No
0,2,5,34,49158,23670,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,No
8,0,14,59,17808,45961,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Weak,None,Stable,Compliant,Adherent,No
0,2,19,40,17871,16629,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,Weak,Inactive,Stable,Compliant,Adherent,No
2,8,11,29,70043,43841,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
3,0,6,63,85377,46764,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
